Accepted_Annotations,Annotation_Count,Annotation_Is_Verified,Classification,Comment_Count,Featured_Video,Followers,Genius_IQ,Hot,Is_Description,Is_Verified,Length_Referent_Text,Meme_Verified,Number_Contributors,Number_Verified_Annotations,Page_Views,Pinned,Pyong_Count,Release_Date,Class
54,58,FALSE,accepted,0,FALSE,693,?,FALSE,FALSE,FALSE,189,FALSE,111,0,77481,FALSE,31,5353,low
26,35,FALSE,unreviewed,0,FALSE,598,?,FALSE,FALSE,FALSE,43,FALSE,32,0,47306,FALSE,23,2234,low
18,19,FALSE,accepted,0,FALSE,8610,?,FALSE,FALSE,FALSE,34,FALSE,156,0,1385859,FALSE,89,826,high
24,27,FALSE,accepted,0,FALSE,693,?,FALSE,FALSE,FALSE,8,FALSE,55,0,58072,FALSE,12,7173,low
29,32,FALSE,accepted,0,TRUE,17568,144243,FALSE,FALSE,TRUE,38,TRUE,175,0,990612,FALSE,273,3204,high
37,40,FALSE,accepted,0,FALSE,693,?,FALSE,FALSE,FALSE,35,FALSE,96,1,253453,FALSE,33,7936,low
19,20,FALSE,accepted,0,TRUE,2503,1124,FALSE,FALSE,TRUE,103,TRUE,45,0,273854,FALSE,10,699,high
36,40,FALSE,accepted,0,TRUE,21495,34478,FALSE,FALSE,TRUE,78,TRUE,363,3,4131701,FALSE,623,2036,high
55,62,FALSE,accepted,0,TRUE,8610,?,FALSE,FALSE,FALSE,37,FALSE,226,4,1891346,FALSE,94,2074,high
33,41,FALSE,accepted,0,TRUE,8610,?,FALSE,FALSE,FALSE,53,FALSE,207,7,1930333,FALSE,90,566,low
20,24,FALSE,accepted,0,TRUE,17568,144243,FALSE,FALSE,TRUE,17,TRUE,191,3,1147870,FALSE,203,2841,high
20,29,FALSE,unreviewed,2,FALSE,419,?,FALSE,FALSE,FALSE,111,FALSE,66,0,55588,FALSE,3,9854,low
25,26,FALSE,accepted,1,FALSE,8610,?,FALSE,FALSE,FALSE,47,FALSE,239,0,1480434,FALSE,207,2914,low
7,8,FALSE,accepted,0,TRUE,693,?,FALSE,FALSE,FALSE,48,FALSE,43,0,74911,FALSE,30,3594,low
106,107,FALSE,accepted,0,FALSE,17568,144243,FALSE,FALSE,TRUE,26,TRUE,536,0,1719362,FALSE,521,1657,high
18,22,FALSE,unreviewed,2,TRUE,17568,144243,FALSE,FALSE,TRUE,170,TRUE,172,0,828968,FALSE,227,2528,high
16,19,FALSE,accepted,0,TRUE,21495,34478,FALSE,FALSE,TRUE,6,TRUE,100,0,1376561,FALSE,138,1705,high
98,101,FALSE,accepted,5,FALSE,21495,34478,FALSE,FALSE,TRUE,142,TRUE,552,2,2049199,FALSE,111,2036,high
14,27,FALSE,unreviewed,1,FALSE,419,?,FALSE,FALSE,FALSE,48,FALSE,58,0,93873,FALSE,13,10415,low
39,47,FALSE,accepted,0,FALSE,2660,?,FALSE,FALSE,FALSE,56,FALSE,231,1,1028013,FALSE,143,7768,low
53,55,FALSE,accepted,3,TRUE,17568,144243,FALSE,FALSE,TRUE,15,TRUE,322,0,1121576,FALSE,254,2784,high
36,37,FALSE,accepted,0,FALSE,21495,34478,FALSE,FALSE,TRUE,25,TRUE,508,0,4526124,FALSE,507,401,high
3,4,FALSE,accepted,0,FALSE,598,?,FALSE,FALSE,FALSE,47,FALSE,18,0,37939,FALSE,46,4310,low
59,62,FALSE,accepted,0,TRUE,21495,34478,FALSE,FALSE,TRUE,59,TRUE,453,0,1377723,FALSE,100,401,low
45,46,FALSE,accepted,0,TRUE,10964,?,FALSE,FALSE,FALSE,44,FALSE,191,0,2798227,FALSE,1397,1207,high
22,24,FALSE,accepted,2,FALSE,21495,34478,FALSE,FALSE,TRUE,53,TRUE,366,1,2267806,FALSE,211,401,high
5,20,FALSE,unreviewed,1,TRUE,38,?,FALSE,FALSE,FALSE,52,FALSE,6,0,?,FALSE,9,1115,low
34,35,FALSE,accepted,0,FALSE,2660,?,FALSE,FALSE,FALSE,19,FALSE,80,0,243325,FALSE,28,8020,low
13,15,FALSE,accepted,3,TRUE,21495,34478,FALSE,FALSE,TRUE,141,TRUE,159,0,1329333,FALSE,136,136,low
134,137,FALSE,accepted,3,FALSE,21495,34478,FALSE,FALSE,TRUE,79,TRUE,714,2,4168155,FALSE,573,1742,high
